name,barcode,brand,price,image_url,date_added
Rainbow Cookies 225g,25040227,Rainbow,3.94,https://s3.eu-west-1.amazonaws.com/product-data.vme.co/products/images/13da3160-81fc-4efd-becc-1de05601a5b4.jpg,23/02/2021 17:50:02
Babybel Mini Natural Cheese 20g,30116269,Babybel,6.62,https://s3.eu-west-1.amazonaws.com/product-data.vme.co/products/images/4069242e-3166-4e80-8384-ffce66d945ca.jpg,22/02/2021 17:50:28
Hubba Bubba Atomic Apple Bubble Gum 5 Chunky Chews,40099330,Hubba Bubba,8.84,https://s3.eu-west-1.amazonaws.com/product-data.vme.co/products/images/cf18a293-d58e-477f-9838-141b0599255a.jpg,22/02/2021 17:58:15
Extra Peppermint Chewing Gum Sugar Free 10 Pieces,40099361,Extra,9.89,https://s3.eu-west-1.amazonaws.com/product-data.vme.co/products/images/736c5a90-9bc1-46d0-a680-56f9e0a113ed.jpg,22/02/2021 18:05:09
Bounty Coconut Dark Chocolate Duo Bar 57g,40111001,Bounty,6.76,https://s3.eu-west-1.amazonaws.com/product-data.vme.co/products/images/1da223d6-02af-4cdd-b622-d9b6a78f2697.jpg,22/02/2021 17:59:24
Werther's Original Butter Candies 50g,40144016,Werther's Original,1.78,https://s3.eu-west-1.amazonaws.com/product-data.vme.co/products/images/1d4e174a-ef9a-48ad-aeab-6f0c02556e10.jpg,22/02/2021 17:55:57
Knoppers Crispy Milk-Hazelnut Wafer 25g,0000040144382,Knoppers,3.90,https://s3.eu-west-1.amazonaws.com/product-data.vme.co/products/images/06e34d2e-d15a-46c0-b162-181395627b5c.jpg,22/02/2021 17:57:03
Black Tower Fruity White 75cl,40696164,Black Tower,6.63,https://s3.eu-west-1.amazonaws.com/product-data.vme.co/products/images/45917f96-6db2-4254-a4ab-4da269833ddf.jpg,22/02/2021 17:58:31
Black Tower Rosé 75cl,40696874,Black Tower,7.97,https://s3.eu-west-1.amazonaws.com/product-data.vme.co/products/images/c3544b07-1bff-473e-a1c6-ea6cf42a917a.jpg,22/02/2021 17:58:30
Extra Cool Breeze Chewing Gum Sugar Free 10 pieces,42070719,Extra,2.38,https://s3.eu-west-1.amazonaws.com/product-data.vme.co/products/images/a6c5f3fb-ec3a-4da3-a6a2-07d5c74e18c2.jpg,22/02/2021 18:05:09
Extra Bubblegum Chewing Gum Sugar Free 14 Sticks,42124498,Extra,5.85,https://s3.eu-west-1.amazonaws.com/product-data.vme.co/products/images/8c02230d-8f4f-42db-9965-138fd20f3c41.jpg,22/02/2021 17:58:10
Extra Spearmint Chewing Gum Sugar Free 14 Soft Sticks,42174318,Extra,1.83,https://s3.eu-west-1.amazonaws.com/product-data.vme.co/products/images/9b62746d-7c98-4faf-b9ac-4b6837baf446.jpg,22/02/2021 17:58:10
Vaseline  Original Petroleum Jelly 50ml,42182627,Vaseline,5.59,https://s3.eu-west-1.amazonaws.com/product-data.vme.co/products/images/7b86eca2-3e31-4d92-bbc3-e46891aeb1e9.jpg,22/02/2021 18:05:35
Extra Ice Peppermint Chewing Gum Sugar Free 10 Pieces,42211464,Extra,5.69,https://s3.eu-west-1.amazonaws.com/product-data.vme.co/products/images/39c0a183-1ead-4242-be05-296a063d4b56.jpg,22/02/2021 17:58:11
Extra White Chewing Gum Sugar Free 10 Pieces,42211471,Extra,7.25,https://s3.eu-west-1.amazonaws.com/product-data.vme.co/products/images/4957265f-c7e6-4052-a098-5d4d296872d7.jpg,22/02/2021 17:58:15
Hubba Bubba Original Bubblegum 5 Chunky Chews,42212003,Hubba Bubba,8.74,https://s3.eu-west-1.amazonaws.com/product-data.vme.co/products/images/311c15c6-50ab-4429-825f-19668ab43ae1.jpg,22/02/2021 17:58:16
